Title,URL,Address,Compensation,Employment Type,Description
CAD Draftsperson,https://newyork.craigslist.org/wch/egr/d/port-chester-cad-draftsperson/7005528983.html,,Pay dependent upon experience,part-time,"
        
Part time drafts-person needed for growing consulting engineering and land surveying company.  CAD experience a must.  Projects include residential and commercial projects for architectural plans, site/civil plans, structural plans, MEP plans and title and topographic surveys.

This job if for an in office position. We are not looking for freelance draftsmen not drafting companies.    "
Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/7005826744.html,Brooklyn,TBD,full-time,"
        
Prepare complete and detailed scopes of work for construction trades.

Perform quantity take-offs with accuracy and completeness.
Solicit budgets and bids from subcontractors and suppliers in a timely fashion
Resolves cost discrepancies by collecting and analyzing information.
Prepares special reports by collecting, analyzing, and summarizing information and trends.
Monitor project costs and schedule
Monitor site supers and attend meetings

At least 4 years industry experience minimum

Please email resume with expected salary

Also looking for Estimators and Assistant Project managers/site supers    "
Executive Assistant at Boutique Property Services Firm (Midtown),https://newyork.craigslist.org/mnh/egr/d/new-york-executive-assistant-at/7005875936.html,Midtown,TBD,employee's choice,"
        
Head Techenical Manager looking for assistantce with client and property management coordination.

+Managing and organizing property records.

+Dealing with various construction trades as well as NYC agencies (ex. DOB, DOT, FDNY etc.)

+Orginizational and computer proficiency important.

+An architectural, engineering or expediting background a plus.

NYC ARCHITECTURAL/EXPEDITING/REAL ESTATE MANAGEMENT FIRM
Main Office (and Portfolio Primairly Servicing) located in Midtown Manhattan NY.    "
Architect-project manager,https://newyork.craigslist.org/que/egr/d/ridgewood-architect-project-manager/7005957388.html,Queens,40K to 60K  TBD based on experience,full-time,"
        
We are a small architectural office and looking of someone to work as a project manager for small and mid-size projects, cover the drafting part and project coordination with direct supervision from the Architect.

Qualifications:
- 2-4 years of experience in Residential and Commercial projects.
- Site survey existing conditions/ As built in details, take photos.
- Bachelor's degree in Architecture 
- Professional in Autocad  drafting "" MUST""  
-General Knowledge of NY City building and zoning Codes
  

Please send your resume, salary TBD based on experience    "
NYC DOB Project Managers - Top Expediting Firm!,https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-dob-project-managers-top/7006007978.html,Midtown West,Competitive Salary and Benefits Package!,full-time,"
        
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.

We have immediate openings for the following:

• Technical Project Manager
• Project Manager

Awesome team-oriented work environment and company benefits package.

Company Perks:

- Paid vacation and personal days
- Paid Holidays
- Health, Dental, Vision Insurance
- 401K
- Company funded HRA
- Bonus opportunities

- Chance to grow with a dynamic expediting firm who works with elite clients.


If you do not possess have knowledge of required DOB forms and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.

Successful candidates must be self-motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V

Please apply on our careers page:


    "
Survey Technician,https://newyork.craigslist.org/stn/egr/d/staten-island-survey-technician/7006120849.html,Staten Island,Starting at $56K /year and based on amount of experience,full-time,"
        
Surveyor  Technician, LSIT. CAD and computation experience required. 
Established Staten Island, NY Civil Engineering and Land Surveying firm since 1959. 
Benefits include: Health, 401K, Holidays    "
Assistant CM/ Admin/ Estimator for Developer/ CM,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-cm-admin-estimator/7005959745.html,Upper East Side,TBD,full-time,"
        
CM/ Developer in better Condo, Townhouse and Commercial work seeks experienced Administrator with strong background and abilities in both Estimating and Administration.

This is a Field Position

Responsibilities are varied and include

•	Budgets and Estimating

o	Set up Excel Workbooks with Trade Pages and Summary for CSI Estimates and Developer Budgets.
o	Organize and Distribute Bid Packages to Contractors and Vendors and Follow-up.
o	Takeoffs for Carpentry, Millwork, Finishes and other Trades
o	Tender Reports for Lender Compliance.
o	Assemble information from various sources including Consulting Estimators, Trade Vendors and Self.

•	Administrative

o	Maintain Site Reports
o	Attend Site Meetings and Distribute Meeting Minutes.
o	Contractors Progress Reports
o	Lender Reports and associated documentation and Photo Presentations
o	Purchasing
o	Track and Facilitate Sign Offs

•	General Skills

o	Must Write and Speak well in English.
o	High proficiency in Excel
o	Proficiency in Microsoft Project, Smartsheet or similar Excel Based Scheduling Programs.
o	Minimum 10 years’ experience or 5 Years plus related Education.


Please respond with Resume, Availability and Salary Requirements. If you list your Salary Requirements as “Negotiable” we will not respond.

Immediate
    "
Stationary Engineer,https://newyork.craigslist.org/brx/egr/d/bronx-stationary-engineer/7006311053.html,,TBD,part-time,"
        
FreshDirect, is recruiting for a Stationary Engineer

Recipe for Success
This role requires you to take a leading part in the operation and maintenance of power and heating plants, auxiliary equipment as well as other related work as necessary. Operate, maintain, and make minor emergency repairs towards various types of generators and motors, feed and vacuum pumps, feed conveyors, blowers, governors controlling the rate of fuel consumption and automatic stokers. Periodically conducts comprehensive tests and takes readings of fuel consumption pressure, draft conditions, temperatures, and steam flow and other recordings.

Key ingredients
2 years of experience involving the operation and repair of stationary steam boilers and auxiliary equipment of a power plant / high-pressure heating plant.

License
Appointees must possess an appropriate Operating Engineer's License of the appropriate grade, issued by the New York Department of Labor for High Pressure Steam Boiler & Refrigeration.

*** Please be advised this is a part-time role and the shift needed to be filled is as follows - 
Tuesday & Wednesday: 2am - 2pm or Thursday & Friday: 2am - 2pm ***

Required Education:
State of New York High Pressure Boiler Operator's License.
Must comply with all general safety policies and procedures in accordance with Company, Local, State and Federal Occupational Safety and Health Administration (OSHA) rules and regulations.
This position will report to our Facilities Management team and require the ability to climb ladders, perform work safely on man-lifts/hoists, work in hot or cold condition (with proper personal protective equipment), work in confined space, and lift 50lbs.
Demonstrate leadership and interpersonal skills, be proficient in English and have ability to determine colors for monitoring alarm conditions on computer screens.
Trade or vocational school graduation is preferred to be effective in this position. Prior experience in a plant or operations culture preferred but can also hold this experience from a building or property management organization.

Candidate must be able to work a flexible schedule that may include nights and weekends. We look forward to hearing from you at this exciting time to join FreshDirect with an excellent benefit program, employee Company store, and countless employee food benefits.

Please send your resume IF you meet above requirements / have license/certifications    "
Junior to Intermediate Architect - 3 - 5 Years Experience,https://newyork.craigslist.org/mnh/egr/d/junior-to-intermediate-architect-years/7005978258.html,Chelsea,Based on experience,full-time,"
        
Mortar Arch + Dev is seeking a Junior to Intermediate Architect to join our team to assist with the design, coordination, and delivery of our residential development projects. A good fit for this position will be an optimistic and motivated individual who is eager to take ownership of their work. We are a small team and we value collaboration, communication, and the ability to thrive within a fast-paced environment.

Your Role:

Your work will involve all aspects of the architectural design process, from feasibility studies through construction administration. You will report to Mortar’s Lead Project Architect and work closely with other members of the architecture and development teams. 

Your responsibilities will include:

- Zoning feasibility studies
- Exploration of design ideas in schematic design
- Creation of design documents and DOB filing sets
- Management of the approval process for select projects
- Coordination with Mortar’s development team
- Construction administration including onsite troubleshooting and responding to RFIs and submittals
 
Who We’re Looking For:

- 3-5 years of professional experience in an architecture practice
- Advanced graphic, communication, and organizational skills
- Familiarity with the NYC Building Code, Zoning Regulations, and Energy Analysis
- Experience coordinating and working with consulting engineers 
- Understanding of building envelope, waterproofing, and MEP systems 
- Proficiency in Revit, Autocad, Rhino, Vray, and Adobe Creative Suite
- A proactive, self-disciplined and confident attitude, at ease in a fast-paced working environment
- Excellent interpersonal skills and a willingness to collaborate with colleagues, consultants, and construction managers
- Detail-oriented, accurate and hands-on approaches to projects
- An ability to manage and balance tight deadlines
- Construction Administration experience

Who We Are:

Mortar is an architecture and real estate development firm located in Chelsea, which specializes in small- to mid-size multifamily residential construction. We are passionate designers and entrepreneurs who believe that profitability and rigorous design standards are complementary, not mutually exclusive. The unique vertical integration of architecture, development, and asset management upon which our practice is built allows us to realize beautiful buildings through an intelligently designed project delivery methodology. Our business model maximizes efficiency and value and our leadership team has more than 50 years of collective management experience in acquiring, designing, and developing properties throughout New York City.

Our Values:

- We celebrate our employees’ diverse backgrounds and interests. We strive to create an inclusive and supportive community. 
- We share a communal passion for design and an appreciation for the creative opportunities presented by our location in the heart of Chelsea. 
- We are committed to enabling healthy and balanced lifestyles. Mortar offers comprehensive benefits including a health care plan, commuter benefits, and enrollment in a 401K retirement plan. 
- We encourage professional development through reimbursement of certain licensures, exams, classes, and professional memberships and events.
- We are an Equal Opportunity Employer. This is a full-time position offering a competitive salary commensurate with experience. Only candidates whose skills match the minimum requirements above should apply.

MORTAR ARCHITECTURE + DEVELOPMENT

www.mortararchdev.com

Please email resume and salary requirements.
    "
Drafter/ Estimator,https://newyork.craigslist.org/brx/egr/d/bronx-drafter-estimator/7005285314.html,Bronx,$25.00 an hour,full-time,"
        
Architectural Sheet Metal Shop looking for a draftsman to join our team. 

Requirements 

- Autocad experience a must
- Prior related experience in sheet metal drafting required
- Prior experience with customer relations
- Knowledge of aluminum store fronts, glass and sheet metal a must 
- Knowledge of quickbooks a plus 
- A valid drivers license a plus

Tasks includes: 

- Assisting with day to day sales
- Takeoff/ estimating 
- Evaluating architectural drawing and converting them into shop drawings
- Visiting job-site to get field measurements. 
- Meeting with clients
- Programing files for laser cutting machine (will train) 



    "
Enginneered Shop Drawings/Draftsman,https://newyork.craigslist.org/que/egr/d/college-point-enginneered-shop-drawings/7005957892.html,Queens,based on you experience,employee's choice,"
        
Busy Iron Work Shop looking for experienced estimator to perform quality take offs for railings, steps, platforms, dunnage, doors, misc iron works.  

Requirements;
Work in our office and visit the site when necessary.  
Knowledge of CAD and able to read and interpet architectural and engineer drawings 
Must have own vehicle or be familiar with public transportation. 
Mininum of 5 years prior experience with Iron Fabrication Company.

Send resume and salary requirements


    "
Project Coordinator/Class 2 Filing rep.,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-class-2/7006342066.html,Brooklyn,"75,000-100,000 based on prior experience",full-time,"
        
compensation: Based on experience
employment type: full-time
Brooklyn based Architectural firm seeking an experienced full-time Expediter that already has experience with the NYC Department of Buildings and possesses a valid Class 2 Filing Representative License.

Responsibilities will include the following:
- Coordinating with clients, consultants, and DOB personnel.
- Preparation & filing of all application types including DOB Now.
- Acquiring work permits.
- Code and zoning research.
- Attending plan exams.
- Attending inspections.

Candidates Qualifications:

- Ability to communicate with clients and professional consultants
- Knowledge of NYC filing, permitting and sign-off procedures
- Ability to read architectural and engineering drawings
- Excellent communication skills
- Strong organization skills
- Self-motivated
- Be fluent in English
- Punctuality is a must
- Be able to work with a team
- A fun, energetic approach to work and business interactions.

Qualified individuals should:

Submit PDF resumes (not to exceed 5 MB)
Provide salary requirements in the body of your cover letter.

We are ready to hire you today if you qualify and have the experience we are looking for, Our office offers an energetic environment with room for professional growth.

**** If you do not possess a Class 2 Filing Rep Status, have knowledge of required DOB/DEP/Landmarks and FDNY forms, and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

We look forward to hearing from you.

Thank you.    "
Architectural Drafts person Needed,https://newyork.craigslist.org/que/egr/d/flushing-architectural-drafts-person/7006443561.html,Flushing,T.B.D.,full-time,"
        
Bachelors in Architecture or Engineering.
- Full time position available
- Internships available    "
Electrical Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-engineer/7006663724.html,Midtown,65k-95k,full-time,"
        
Title: Electrical Engineer

Duties & Responsibilities:

-Design Electrical Systems  From Inception to Complete Construction Documents 
-Prepare Specifications 
-Survey of Existing Building Conditions 
-Assist in the Preparation of Reports 
-Complete all Phases of Design from Schematic through Construction Administration
-Preparation of Drawing and Specifications 
-Knowledge of NYC Filing Requirements and Procedures 
-Knowledge of Utility Companies Filing Requirements and Procedures 
-Coordination Between Architectural and Engineering Disciplines 
-Must have a working knowledge of AutoCAD with prior experience designing in an MEP Environment. 
-Strong Computer Skills and knowledge of REVIT Models a Plus


Desired Skills & Experience:
2-5 Years experience

Additional Information:

Type: Full-timeFunctions: EngineeringExperience: Junior LevelIndustries: Architecture & Planning, Construction, Design

Salary Commensurate with experience
Full benefits 
PTO
Paid Holidays 
401k and more.    "
AV/ IT Design Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-av-it-design-engineer/7006702178.html,New York City,"75,000.00 to 105,000.00",full-time,"
        
Audiovisual Design Engineer

We are looking for a Senior AV Design Engineer to work within our Technology consulting practice. Reporting to the principal in charge, this position will focus on leading needs analysis and technology visioning with key clients, as well as leading our internal consulting teams and supporting our clients during all phases of our projects.

Responsibilities include:

Direct involvement in all aspects and phases of audio visual projects (i.e. programming, design, construction administration, etc.) 
Attend internal and client meetings as needed both onsite and remote 
Provide direction and create red lines / sketches to / for production team members and perform QC checks on all deliverables prior to release to clients, architects, construction firms, integrators, etc. 
Create and document AV budgets for projects 
Develop AV system designs and perform all necessary engineering tasks to ensure the designs meet client needs, expectations, and budgets 
Create, QC, and issue equipment lists, system drawings, details, system specifications, etc. 
Work in collaboration with the project manager to ensure the design intent, client needs / must haves, and any field design notes are covered by the system design 
Ensure industry best practices and company standards are used consistently and effectively 
Participate in building and maintaining company standards by conducting lessons learned sessions, by continuing education, and by participating in R&D for new products 
Oversee system integrator efforts as required 
Review submissions and shop drawings 
Respond to RFIs as required 
Assist directly and indirectly with all aspects of site coordination as needed 
Assist directly and indirectly with technical aspects of the system and with system commissioning as required 
Assist directly and indirectly with creation, maintenance, and updating punch lists as required 
Assist directly and indirectly with end user / client training, as required 
Review as-built and closeout documentation for accuracy 
Other duties as assigned

Required Qualifications

Expert knowledge of industry standards in AV system design and integration 
Excellent knowledge of trending technologies available today 
Excellent understanding of different technologies and the ability to properly identify the best solution based on the needs analysis 
Minimum 3 years of experience with designing and engineering AV systems 
Good understanding of heat loads, power requirements, lighting and acoustical environments and their effects on AV system design 
Good understanding of control system programming, GUI design, and the effects it has on AV system design 
Good understanding of audio principles for the purpose of AV design 
Good understanding of collaboration technologies and the options available (i.e. video conferencing end points, soft codecs, instant messaging applications, online meeting services, etc.) 
Familiarity with small, medium, and large scale projects 
Strong math aptitude and logical analysis skills 
Strong interpersonal skills that foster a team environment 
Ability to problem solve independently with a sense of urgency 
Excellent communication skills both verbally and in writing 
Be detail oriented and organized while being able to multitask and shift priorities with ease 
Working knowledge of AutoCAD software 
Working knowledge of various Microsoft Office tools (Word, Excel, Power Point) 
CTS Certification at a minimum and CTS-D certification mandatory within 12 months of employment
Desired Qualifications but NOT REQUIRED 

Infocomm CTS-D, CTS-I or CTS certification 
Any Infocomm training / education 
PMP certification 
AV manufacturer or industry related training and certifications (i.e. SynAudCon, Crestron, Extron, Biamp, etc.) 
Experience with IT and / or Security system design / integration 
Experience with control system programming 
Experience with indoor / outdoor digital signage technologies 
Any technology consulting experience

Full Benefits, Vacation, Sick Days, Bonuses, 401K plan    "
Plumbing / Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/long-island-city-plumbing-fire/7006664314.html,,60k-90k,full-time,"
        
Senior Plumbing / Fire Protection  Designer -- NYC  / Queens area 

Ideal candidate will have 2-10 years experience designing plumbing systems in facilities including multi-family, hi-rise, healthcare, institutional and high tech industrial.  

Prefer candidates with hi-rise / multi-family project experience.

Must be proficient with AutoCAD 

Revit experience is a plus. 

Salary and benefits are commensurate with experience 

Employee Medical fully covered by employer
PTO
Paid Holidays and more... 

No 3rd party agencies please.
    "
ASSISTANT PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7006665342.html,New York City,Salary commensurate with experience,full-time,"
        
King Rose Construction (www.kingroseny.com) is an entrepreneurial, growing NYC general contractor specializing in commercial build outs in the 5 boroughs. Our clients include Columbia University, NASA, The LeFrak Organization, Dish Network and many other organizations. We are currently looking for an Assistant Project Manager to join our Project Management team. The ideal candidate must be dedicated, detail-oriented, responsible and have the ability to complete assigned tasks diligently and within the allotted time frame. The position is field and office-based. This is a stepping stone to a Project Manager position for the right candidate.

Responsibilities:
•	Monitor phases of construction
•	Assist with monitoring construction schedules and budgets
•	Coordinate with Clients, Subcontractors and Suppliers
•	Compose Submittals
•	Process RFIs
•	Process Change Orders
•	Post Daily Reports
•	Prepare Minute Meetings
•	Supervise trades, as needed

Requirements:
•	Education: Bachelor's Degree preferably in Architecture, Engineering or Construction Management
•	MUST HAVE - Field Experience
•	Excel Proficiency
•	Ability to read drawings

Experience:
•	Minimum 1 year experience as an Assistant Project Manager or equivalent role, preferably in NYC

Compensation:
•	End of year holiday bonus
•	Family Health benefits
•	401(K)
•	Annual performance reviews
•	Salary commensurate with experience
•	Opportunity for financial, professional and personal growth

Job Type: Full-time
    "
Plumbing/Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-fire-protection/7006697755.html,New York City,"95,000.00 to 135,000.00",full-time,"
        
We are a world-class multi-disciplinary engineering consulting firm who is seeking a Plumbing/Fire Protection Engineer for our New York, NY office. 

Responsibilities 

Our engineers work on high quality, high-profile, national and international projects. We are currently looking for engineers who will be responsible for the systems design of commercial, institutional, healthcare, and laboratory projects.

Responsibilities include:
• Development of initial Pluming and Fire Protection system concepts
• Design of Plumbing and Fire Protection systems
• Calculation of preliminary water, gas, sanitary/sewer and storm loads for utility coordination
• Develop project specifications
• Survey and evaluation of existing conditions
• Construction administration
• Assist with Project Management
• Attend client meetings 

Requirements 
Bachelor’s degree in Mechanical, Civil or Environmental Engineering preferred. 
2- 15 years’ experience designing plumbing and fire protection systems preferred. (Project experience submitted for consideration should include buildings on which you have actively participated in the project from the design phase through the final construction close-out.) 
Strong working knowledge of building, plumbing, and fire codes 
Excellent verbal and written communication skills 
Current PE and LEED AP licenses/registrations are preferred. 
Special consideration will be given to those candidates who have successfully demonstrated innovative design experience specifically related to renewable energies and sustainable, high performing buildings.

Our company offers salary commensurate with experience, a comprehensive benefits package which includes medical, dental, disability and life insurances, 401k plan, tuition reimbursement, and more.    "
Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/7006703536.html,Manhattan,"75,000.00 to 115,000.00",full-time,"
        
Mechanical Engineer

We are a full-service Mechanical, Electrical and Plumbing Engineering Consulting firm with multiple locations throughout the United States. Our New York City office is seeking a Mechanical Engineer to work on a wide variety of commercial and high tech buildings. 

Responsibilities:

Designing HVAC systems, load calculations, scheduling and selecting equipment, specification writing & construction administration. 
Completing Commissioning and HVAC inspections in the field. 
Research, develop, and design mechanical systems and processes to meet client requirements while applying engineering principles.
Read and interpret blueprints, technical drawings, schematics and computer generated reports. 
Become a complementary member of our team as a whole, and on a project-by-project basis;
Produce work using computer aided design/drafting hardware and software.
Work on several projects at one time.
Field measure and document existing buildings
Produce and coordinate construction drawings with other disciplines.

Salary Range: 75,000.00  to 115,000.00 
Bonus plan, Full Benefits & Vacation Days.



Job Requirements

Requirements:

Bachelor's Degree in Mechanical Engineering.
Minimum of 4+years of HVAC design, preferred emphasis in commercial, labs, data centers and high tech buildings.
Strong communication, report writing, organization, analytical and interpersonal skills;
Working knowledge of the design standards and codes for NYC building design;
A high level of technical and organizational skill accompanied by strong oral and written communication;
Working knowledge of design software (AutoCAD MEP, Trane Trace), Revit MEP preferred;
Working knowledge of standard computer software, such as Excel and Word.
    "
Associate Insulation Estimator,https://newyork.craigslist.org/fct/egr/d/stamford-associate-insulation-estimator/7006814107.html,"Stamford, CT",Starting pay @ $15.00/hr,full-time,"
        
Here at Energy Spray Systems, we are looking for an individual who has a basic familiarity with thermal envelope systems and is responsible for appropriately evaluating the materials used for given projects as provided by plans, specifications, and/or communication with our clients, builders, and architects. You will become familiar with our competitive advantages as an organization and will be able to communicate those to our benefit throughout the bidding process.

***Responsibilities***

- Preparing detailed and accurate insulation project takeoffs and estimates.
- Reading and understanding plan drawings and specifications and interfacing with general contractors and architects.
- Proposing and negotiating innovative and cost-saving solutions to our clients.
- Understanding project goals, deadlines and revising estimates as necessary throughout the bidding process.
- Maintaining knowledge of prior experience and new competitive advantages in the industry to aid in the bidding process.
- Obtaining up to date and accurate quotes for materials and thermal systems.


***Requirements and Qualifications***

-   1 – 3 years of construction experience; insulation systems preferred.
-  Proficiency in Microsoft Office software.
-  Knowledge and experience using Bluebeam Revu estimating software preferred.
-  Strong blueprint/plan-reading skills.
-  Solid understanding of basic mathematical principles
-  Stable work history.
-  Highly organized and detail oriented
-  Strong problem-solving skills.
-  Excellent time management skills, with adherence to milestones and deadlines.
-  Ability to handle large amounts of data entry and analysis.    "
CAD Operator / Drafter,https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/7006856961.html,Long Island City,Salary based on experience,full-time,"
        
Structural engineering firm in Long Island City, Queens has an immediate opening for a full-time AutoCAD draftsperson.

This is NOT a telecommuting position. You must be able to come to work at our office in LIC and you must be authorized to work in the U.S. Please do not apply if you are not within commuting distance. 

Requirements:
• 4+ years in AutoCAD experience
• Must have working experience in engineering/architectural drafting
• Must be able to generate plans and sections

Duties and Responsibilities:
• Create detailed, accurate construction documents for structural engineering projects (commercial and residential)
• Work with principal engineer to make corrections to the drawings under tight deadlines

Excellent communication skills are a must.

To apply, please send resume in PDF format and email your salary requirements.
    "
Office Engineer/Inspector,https://newyork.craigslist.org/brk/egr/d/new-york-office-engineer-inspector/7007061610.html,,Commensurate with experience,full-time,"
        
Office Engineer/Inspector (AII/NIII certified) needed for on-going New York City Complex Ped. Ramp Project in Brooklyn. Must have relevant NYCDDC experience, as well as good written and verbal communication skills. Competitive salaries and fringe benefits including medical/dental coverage and 401K Plan.    "
NYC DOB Project Managers - Immediate Openings -Top Expediting Firm!,https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-dob-project-managers/7008628864.html,Midtown West,Competitive Salary and Benefits Package!,full-time,"
        
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.

We have immediate openings for the following:

• Technical Project Manager
• Project Manager

Awesome team-oriented work environment and company benefits package.

Company Perks:

- Paid vacation and personal days
- Paid Holidays
- Health, Dental, Vision Insurance
- 401K
- Company funded HRA
- Bonus opportunities

- Chance to grow with a dynamic expediting firm who works with elite clients.


If you do not possess have knowledge of required DOB forms and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.

Successful candidates must be self-motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V

Please apply on our careers page:


    "
Architectural Designer-Temporary-Retail-Fluent Korean Speaking,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-designer/7007015973.html,Midtown,$35-$40 per hour as 1099/Independent Contractor,full-time,"
        
This temporary opportunity requires a candidate who speaks Fluent Korean.

An Architectural Designer/Draftsperson is needed for 2-3 months and possibly longer to work in the office of a luxury retail design firm that focuses upon high profile domestic and international projects.

Tasks include developing construction drawings using AutoCAD plus creating renderings using SketchUp.

The work is to take place with the design team in the NYC office of the firm.

Immediate start.

Great hourly rate. You get paid for each hour that you work as 1099/Independent Contractor status.

To be considered please submit your resume plus retail architecture/interior work samples including AutoCAD technical drawings plus SketchUp renderings. PDF attachment to an email works best.

All communication is held in complete confidence.

Thank you!    "
General Contractor is seeking a full-time experienced Construction Est,https://newyork.craigslist.org/brk/egr/d/general-contractor-is-seeking-full-time/7007089999.html,Brooklyn,email,employee's choice,"
        
Brooklyn General Construction Company looking for a estimator with 5+years of experience. 
Responsibilities:
Read and analyze drawings & specifications.
Prepare bids, RFI ,RFP and meet deadlines.
Request quotes from suppliers and subcontractors.
Prepare proposal and scope of work.
Prepare detailed take-off and estimates.
Attend site meetings and walkthroughs.
Prepare submittal package and construction schedules.

Requirements:
Complete knowledge of Excel, Word and MS Projects.
5+ years of experience as project manager/estimator.
Excellent written and verbal communication skills.
Drawing, sketching and AutoCad proficiency a plus.
BA/BS in architecture, engineering or construction project management preferred.

Please send your resume with expected salary.
    "
ENTRY LEVEL CAD position,https://newyork.craigslist.org/stn/egr/d/entry-level-cad-position/7007425644.html,Staten Island,starting at $15/hr - (varies based on experience),full-time,"
        
ENTRY level CAD positions in Land Surveying/ Civil Engineering Firm 
(hours: Monday-Friday 8am to 4:30pm). 
Some CAD experience required. 
Holidays, 401K, Health, possible overtime    "
BIM Specialist,https://newyork.craigslist.org/mnh/egr/d/new-york-bim-specialist/7008838637.html,,competitive salary with paid benefits + PTO,full-time,"
        
Full-time opportunity for an architect looking to become a BIM/Revit Specialist. This person can be someone in this role currently or be an architect highly adept with Revit looking to transition.  Strong experience in Revit, Navisworks & Dynamo is a must. This person will be supporting the team on large-scale new developments in New York.

The responsibilities for this role will include:

-Working with design/architecture team to help with all facets of setting up the project and model
-Aiding in the implementation of BIM standards
-Providing technical support and training 
-Research and suggest new software and technologies for firmwide use
    "
